activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.01,momentum,0.9,0.3329166666666667,0.3333333333333333,34.15225452720182
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.01,momentum,0.99,0.324375,0.315,34.42361808468966
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0,adam,0.0,0.475,0.4633333333333333,1.5980160539445851
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,2.480072230595568
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,1.5946534413366797
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0001,adam,0.0,0.37604166666666666,0.365,1.5213614839556469
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0001,momentum,0.9,0.35354166666666664,0.335,2.162527026633597
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.0001,momentum,0.99,0.395625,0.4033333333333333,1.4686436699023944
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.01,adam,0.0,0.33125,0.32666666666666666,31.719751180999438
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.01,momentum,0.9,0.3335416666666667,0.33,33.770139545057475
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0,0.01,momentum,0.99,0.33666666666666667,0.3466666666666667,31.99447940472134
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0,adam,0.0,0.42583333333333334,0.4216666666666667,1.499958131422685
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,2.9886020187417897
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0,momentum,0.99,0.3375,0.33666666666666667,3.435440361153825
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0001,adam,0.0,0.4683333333333333,0.4666666666666667,1.801155730098513
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0001,momentum,0.9,0.34208333333333335,0.3433333333333333,3.08686407369343
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,2.709113212888911
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.01,adam,0.0,0.410625,0.39,31.67123558278605
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.01,momentum,0.9,0.3333333333333333,0.3333333333333333,34.71266931716012
sigmoid,"[64, 64, 64]",0.0001,0.0,0.0001,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,33.56922303013117
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0,adam,0.0,0.33958333333333335,0.3283333333333333,3.145061261133256
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0,momentum,0.9,0.324375,0.35,3.1456603078146994
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0,momentum,0.99,0.39,0.4033333333333333,3.271865759328762
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0001,adam,0.0,0.3333333333333333,0.335,3.46126053382397
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0001,momentum,0.9,0.3333333333333333,0.3333333333333333,4.317747617173372
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.0001,momentum,0.99,0.32875,0.33666666666666667,3.720946238310807
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.01,adam,0.0,0.331875,0.33166666666666667,33.50674337161025
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.01,momentum,0.9,0.38333333333333336,0.37,33.44811856474888
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0,0.01,momentum,0.99,0.3335416666666667,0.32,33.35274248870662
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0,adam,0.0,0.30875,0.3283333333333333,3.2498978974304715
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,4.575948247812919
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0,momentum,0.99,0.33625,0.3333333333333333,3.582428491813454
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0001,adam,0.0,0.38729166666666665,0.3616666666666667,4.064241958000845
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0001,momentum,0.9,0.333125,0.3333333333333333,4.072937196257325
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.0001,momentum,0.99,0.2710416666666667,0.2916666666666667,4.125485625919882
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.01,adam,0.0,0.3333333333333333,0.3333333333333333,33.89450202207272
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.01,momentum,0.9,0.3333333333333333,0.3333333333333333,34.9044940147654
sigmoid,"[64, 64, 64]",0.0001,0.5,0.0001,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,34.50345828933757
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0,adam,0.0,0.5977083333333333,0.5816666666666667,0.8425485584824829
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0,momentum,0.9,0.3072916666666667,0.2916666666666667,3.0894947975992544
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0,momentum,0.99,0.41479166666666667,0.395,1.5901220329240633
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0001,adam,0.0,0.6120833333333333,0.5716666666666667,1.932087604388839
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0001,momentum,0.9,0.334375,0.33,2.7330009502832646
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.0001,momentum,0.99,0.27125,0.29,3.0532122244865203
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.01,adam,0.0,0.5266666666666666,0.51,90.09711999570199
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.01,momentum,0.9,0.3672916666666667,0.365,116.62383450968268
sigmoid,"[128, 128, 128]",0.001,0.0,0.0,0.01,momentum,0.99,0.37104166666666666,0.375,116.97029681907918
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0,adam,0.0,0.6139583333333334,0.5766666666666667,2.5142027597487164
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0,momentum,0.9,0.335,0.365,4.995435459694741
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0,momentum,0.99,0.313125,0.32666666666666666,3.412806152169101
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0001,adam,0.0,0.6008333333333333,0.5733333333333334,3.557076500494524
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0001,momentum,0.9,0.33479166666666665,0.33,4.692211288251363
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.0001,momentum,0.99,0.3389583333333333,0.3433333333333333,4.7511834674615425
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.01,adam,0.0,0.5397916666666667,0.53,90.07309194524021
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.01,momentum,0.9,0.36791666666666667,0.3616666666666667,117.64416099495006
sigmoid,"[128, 128, 128]",0.001,0.0,0.0001,0.01,momentum,0.99,0.37395833333333334,0.38,118.15453205208298
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0,adam,0.0,0.4764583333333333,0.4633333333333333,2.9806537584306194
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0,momentum,0.9,0.3325,0.33166666666666667,4.667898982547481
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0,momentum,0.99,0.32958333333333334,0.3333333333333333,4.330122104742163
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0001,adam,0.0,0.405,0.4066666666666667,4.31051589336822
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0001,momentum,0.9,0.3335416666666667,0.335,6.262300959822761
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.0001,momentum,0.99,0.331875,0.33166666666666667,6.100524554342304
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.01,adam,0.0,0.3435416666666667,0.35333333333333333,89.06154055786712
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.01,momentum,0.9,0.355625,0.3433333333333333,120.032957211692
sigmoid,"[128, 128, 128]",0.001,0.5,0.0,0.01,momentum,0.99,0.38625,0.39166666666666666,121.00021709666787
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0,adam,0.0,0.46541666666666665,0.43166666666666664,4.4529845718451
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0,momentum,0.9,0.34541666666666665,0.3466666666666667,6.259780604681362
sigmoid,"[128, 128, 128]",0.001,0.5,0.0001,0.0,momentum,0.99,0.29583333333333334,0.2833333333333333,6.4482593617148005
