activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0001,momentum,0.8,0.5489130434782609,0.5217391304347826,1.8252881893325337
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0001,momentum,0.9,0.5475543478260869,0.5434782608695652,1.6714203706650086
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0001,momentum,0.99,0.001358695652173913,0.0,4.719400373739687
sigmoid,"[32, 32]",0.001,0.5,0.0,0.001,adam,0.0,0.7907608695652174,0.8152173913043478,1.8098453105229817
sigmoid,"[32, 32]",0.001,0.5,0.0,0.001,momentum,0.8,0.22826086956521738,0.18478260869565216,3.0428413771672336
sigmoid,"[32, 32]",0.001,0.5,0.0,0.001,momentum,0.9,0.5489130434782609,0.5,2.4640044475952307
sigmoid,"[32, 32]",0.001,0.5,0.0,0.001,momentum,0.99,0.15217391304347827,0.08695652173913043,3.363149301811473
sigmoid,"[32, 32]",0.001,0.5,0.0,0.01,adam,0.0,0.7092391304347826,0.6521739130434783,6.515530472042531
sigmoid,"[32, 32]",0.001,0.5,0.0,0.01,momentum,0.8,0.5067934782608695,0.532608695652174,8.102550696028556
sigmoid,"[32, 32]",0.001,0.5,0.0,0.01,momentum,0.9,0.5285326086956522,0.5434782608695652,8.6148471972588
sigmoid,"[32, 32]",0.001,0.5,0.0,0.01,momentum,0.99,0.09239130434782608,0.13043478260869565,9.773321130540026
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0,adam,0.0,0.7717391304347826,0.7717391304347826,1.32191982750771
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0,momentum,0.8,0.12228260869565218,0.13043478260869565,2.911469080534887
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0,momentum,0.9,0.34375,0.31521739130434784,3.441600577066462
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0,momentum,0.99,0.25271739130434784,0.21739130434782608,2.8572146251736035
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0001,adam,0.0,0.8125,0.7717391304347826,1.1765965643805734
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0001,momentum,0.8,0.3029891304347826,0.33695652173913043,2.2741320325516368
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0001,momentum,0.9,0.40896739130434784,0.3804347826086957,2.7238720443752356
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.0001,momentum,0.99,0.5135869565217391,0.532608695652174,2.2446864767743957
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.001,adam,0.0,0.7608695652173914,0.75,1.8020356228049927
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.001,momentum,0.8,0.422554347826087,0.43478260869565216,2.935052491963646
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.001,momentum,0.9,0.04076086956521739,0.021739130434782608,3.486464613046513
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.001,momentum,0.99,0.30978260869565216,0.22826086956521738,2.431654629019635
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.01,adam,0.0,0.595108695652174,0.6086956521739131,6.469789230468146
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.01,momentum,0.8,0.5529891304347826,0.5543478260869565,8.79202225409994
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.01,momentum,0.9,0.05434782608695652,0.08695652173913043,9.481648018543321
sigmoid,"[32, 32]",0.001,0.5,0.0001,0.01,momentum,0.99,0.10190217391304347,0.09782608695652174,9.776485105184975
sigmoid,"[32, 32]",0.001,0.5,0.001,0.0,adam,0.0,0.7622282608695652,0.75,2.3119324158956154
